Age_Range,Age_Guess,Degree,Job_Title,Coding_Years,ML_Years,ML_Years_Guess,Salary_Range,Salary_Guess
45-49,48,Doctoral degree,Other,20+ years,5-10 years,9,"150,000-199,999",194293
45-49,49,Bachelor's degree,Other,10-20 years,3-4 years,4,"150,000-199,999",151950
45-49,49,Bachelor's degree,Software Engineer,20+ years,2-3 years,3,"150,000-199,999",161854
45-49,49,I prefer not to answer,Software Engineer,10-20 years,1-2 years,2,"150,000-199,999",167927
45-49,49,Master's degree,Data Scientist,20+ years,20 or more years,22,"150,000-199,999",183172
45-49,49,Bachelor's degree,Software Engineer,20+ years,4-5 years,5,"150,000-199,999",186563
45-49,49,Doctoral degree,Other,20+ years,5-10 years,10,"150,000-199,999",199421
45-49,45,Master's degree,Other,20+ years,20 or more years,26,"200,000-249,999",203954
45-49,46,Master's degree,Data Analyst,3-5 years,Under 1 year,0.4,"200,000-249,999",209840
45-49,46,Master's degree,Data Scientist,20+ years,4-5 years,4,"200,000-249,999",214284
45-49,46,Doctoral degree,Data Scientist,20+ years,10-20 years,17,"200,000-249,999",215983
45-49,47,Master's degree,Data Scientist,< 1 years,Under 1 year,0.1,"200,000-249,999",210083
45-49,47,Bachelor's degree,Data Scientist,20+ years,4-5 years,5,"200,000-249,999",227996
45-49,48,Master's degree,Product/Project Manager,10-20 years,20 or more years,25,"200,000-249,999",207221
45-49,48,Master's degree,Other,10-20 years,10-20 years,12,"200,000-249,999",217621
45-49,48,Doctoral degree,Software Engineer,20+ years,20 or more years,21,"200,000-249,999",218696
45-49,48,Bachelor's degree,Software Engineer,10-20 years,Under 1 year,0.7,"200,000-249,999",235211
45-49,49,Some college/university study without earning a bachelor's degree,Other,20+ years,Under 1 year,0.1,"200,000-249,999",212953
45-49,49,Bachelor's degree,Business Analyst,20+ years,2-3 years,2,"200,000-249,999",218840
45-49,49,Master's degree,Data Engineer,10-20 years,4-5 years,5,"200,000-249,999",221720
45-49,49,Doctoral degree,Research Scientist,20+ years,2-3 years,2,"200,000-249,999",233424
45-49,49,Master's degree,Data Scientist,10-20 years,10-20 years,17,"200,000-249,999",234931
45-49,49,Master's degree,Machine Learning Engineer,5-10 years,4-5 years,4,"200,000-249,999",238132
45-49,45,Professional degree,Other,3-5 years,2-3 years,2,"250,000-299,999",260063
45-49,46,Bachelor's degree,Product/Project Manager,20+ years,I do not use machine learning methods,0,"250,000-299,999",277603
45-49,46,Bachelor's degree,Other,20+ years,1-2 years,2,"250,000-299,999",278386
45-49,49,Doctoral degree,Data Scientist,10-20 years,5-10 years,9,"250,000-299,999",287827
45-49,48,Master's degree,Other,3-5 years,Under 1 year,0.8,"30,000-39,999",34263
45-49,45,Some college/university study without earning a bachelor's degree,Other,20+ years,2-3 years,3,"300,000-500,000",491464
45-49,46,Master's degree,Data Scientist,20+ years,4-5 years,4,"300,000-500,000",377768
45-49,48,Doctoral degree,Other,20+ years,3-4 years,4,"300,000-500,000",400234
45-49,49,Bachelor's degree,Other,20+ years,5-10 years,7,"300,000-500,000",373587
45-49,46,Bachelor's degree,Other,1-2 years,1-2 years,2,"40,000-49,999",41817
45-49,47,Some college/university study without earning a bachelor's degree,Data Scientist,5-10 years,3-4 years,3,"40,000-49,999",49251
45-49,46,Doctoral degree,Other,10-20 years,Under 1 year,0.4,"50,000-59,999",53010
45-49,46,Bachelor's degree,Other,10-20 years,I do not use machine learning methods,0,"50,000-59,999",53135
45-49,47,Bachelor's degree,Data Engineer,20+ years,Under 1 year,0.9,"50,000-59,999",56608
45-49,48,Bachelor's degree,Data Analyst,1-2 years,1-2 years,1,"50,000-59,999",51916
45-49,47,Master's degree,Other,20+ years,Under 1 year,0.2,"60,000-69,999",61777
45-49,48,Bachelor's degree,Software Engineer,10-20 years,I do not use machine learning methods,0,"7,500-9,999",7014
45-49,49,Master's degree,Research Scientist,10-20 years,1-2 years,1,"7,500-9,999",9484
45-49,46,Master's degree,Business Analyst,< 1 years,Under 1 year,0.7,"70,000-79,999",78364
45-49,47,Doctoral degree,Statistician,5-10 years,I do not use machine learning methods,0,"70,000-79,999",71936
45-49,47,Master's degree,Data Analyst,10-20 years,Under 1 year,0.0,"70,000-79,999",73002
45-49,47,Master's degree,Product/Project Manager,< 1 years,4-5 years,4,"70,000-79,999",75678
45-49,49,Doctoral degree,Research Scientist,5-10 years,1-2 years,2,"70,000-79,999",72992
45-49,46,Doctoral degree,Software Engineer,5-10 years,1-2 years,2,"80,000-89,999",83061
45-49,49,Some college/university study without earning a bachelor's degree,Data Analyst,3-5 years,Under 1 year,0.9,"80,000-89,999",80529
45-49,45,Master's degree,Statistician,5-10 years,I do not use machine learning methods,0,"90,000-99,999",92510
45-49,45,Doctoral degree,Research Scientist,20+ years,20 or more years,21,"90,000-99,999",95574
45-49,46,Some college/university study without earning a bachelor's degree,Software Engineer,20+ years,2-3 years,2,"90,000-99,999",98161
45-49,47,Master's degree,Data Analyst,10-20 years,3-4 years,3,"90,000-99,999",91206
45-49,48,Master's degree,Data Analyst,3-5 years,Under 1 year,1.0,"90,000-99,999",92504
45-49,48,Master's degree,Software Engineer,10-20 years,5-10 years,10,"90,000-99,999",94251
45-49,49,Master's degree,Product/Project Manager,5-10 years,I do not use machine learning methods,0,"90,000-99,999",92213
45-49,49,Master's degree,Data Scientist,5-10 years,2-3 years,3,"90,000-99,999",96041
45-49,45,Master's degree,Currently not employed,3-5 years,2-3 years,3,,
45-49,45,Master's degree,Student,< 1 years,Under 1 year,0.8,,
45-49,45,Master's degree,Student,5-10 years,Under 1 year,0.1,,
45-49,45,Master's degree,Currently not employed,1-2 years,Under 1 year,0.6,,
45-49,45,Master's degree,,,,,,
45-49,45,Master's degree,Currently not employed,1-2 years,,,,
45-49,45,Some college/university study without earning a bachelor's degree,Currently not employed,< 1 years,,,,
45-49,46,Bachelor's degree,Currently not employed,1-2 years,1-2 years,1,,
45-49,46,Doctoral degree,Product/Project Manager,10-20 years,1-2 years,2,,
45-49,46,Some college/university study without earning a bachelor's degree,Currently not employed,3-5 years,1-2 years,2,,
45-49,46,Bachelor's degree,Business Analyst,< 1 years,I do not use machine learning methods,0,,
45-49,46,Doctoral degree,Research Scientist,3-5 years,I do not use machine learning methods,0,,
45-49,46,Doctoral degree,Currently not employed,20+ years,I do not use machine learning methods,0,,
45-49,46,I prefer not to answer,Student,20+ years,I do not use machine learning methods,0,,
45-49,46,Master's degree,Currently not employed,20+ years,I do not use machine learning methods,0,,
45-49,46,Master's degree,Business Analyst,5-10 years,Under 1 year,0.6,,
45-49,46,Bachelor's degree,Data Scientist,20+ years,,,,
45-49,46,Bachelor's degree,Product/Project Manager,< 1 years,,,,
45-49,46,Master's degree,Student,< 1 years,,,,
45-49,46,Some college/university study without earning a bachelor's degree,Student,I have never written code,,,,
45-49,47,Doctoral degree,Currently not employed,1-2 years,1-2 years,1,,
45-49,47,Master's degree,Currently not employed,5-10 years,2-3 years,2,,
45-49,47,Bachelor's degree,Currently not employed,20+ years,I do not use machine learning methods,0,,
45-49,47,Bachelor's degree,Currently not employed,20+ years,Under 1 year,0.7,,
45-49,48,Master's degree,Software Engineer,5-10 years,1-2 years,1,,
45-49,48,Master's degree,Other,20+ years,10-20 years,10,,
45-49,48,Doctoral degree,Currently not employed,10-20 years,4-5 years,4,,
45-49,48,Master's degree,Data Scientist,3-5 years,5-10 years,9,,
45-49,48,Doctoral degree,Other,,,,,
45-49,48,Master's degree,Data Analyst,1-2 years,,,,
45-49,48,Master's degree,Business Analyst,1-2 years,,,,
45-49,48,Some college/university study without earning a bachelor's degree,Currently not employed,I have never written code,,,,
45-49,49,Master's degree,Currently not employed,5-10 years,1-2 years,2,,
45-49,49,Master's degree,Currently not employed,10-20 years,2-3 years,3,,
45-49,49,Master's degree,Currently not employed,20+ years,5-10 years,7,,
45-49,49,Master's degree,Currently not employed,10-20 years,Under 1 year,0.3,,
45-49,49,Some college/university study without earning a bachelor's degree,Software Engineer,5-10 years,Under 1 year,0.9,,
45-49,49,Master's degree,Student,1-2 years,,,,
45-49,49,Master's degree,Business Analyst,I have never written code,,,,
45-49,49,Master's degree,Software Engineer,5-10 years,,,,
45-49,49,Master's degree,Other,,,,,
50-54,50,Master's degree,Product/Project Manager,5-10 years,1-2 years,2,$0-999,483
50-54,50,I prefer not to answer,Product/Project Manager,10-20 years,Under 1 year,0.1,$0-999,966
50-54,51,Master's degree,Other,I have never written code,,,$0-999,262
50-54,51,Some college/university study without earning a bachelor's degree,Other,I have never written code,,,$0-999,433
50-54,52,Doctoral degree,Data Scientist,20+ years,2-3 years,2,$0-999,173
50-54,52,Master's degree,Other,< 1 years,Under 1 year,0.2,$0-999,368
50-54,52,Master's degree,Software Engineer,20+ years,5-10 years,10,$0-999,422
50-54,52,Doctoral degree,Research Scientist,20+ years,20 or more years,26,$0-999,553
50-54,53,Some college/university study without earning a bachelor's degree,Other,1-2 years,Under 1 year,0.4,$0-999,147
50-54,53,Doctoral degree,Other,< 1 years,Under 1 year,1.0,$0-999,173
50-54,53,Doctoral degree,Research Scientist,1-2 years,Under 1 year,0.6,$0-999,610
50-54,53,Master's degree,Research Scientist,10-20 years,4-5 years,5,$0-999,652
50-54,54,Doctoral degree,Research Scientist,20+ years,20 or more years,20,$0-999,562
50-54,54,Master's degree,Business Analyst,10-20 years,4-5 years,5,$0-999,647
50-54,50,Master's degree,Data Analyst,20+ years,1-2 years,1,"1,000-1,999",1900
50-54,50,Master's degree,Business Analyst,3-5 years,I do not use machine learning methods,0,"1,000-1,999",1997
50-54,52,Some college/university study without earning a bachelor's degree,Other,I have never written code,,,"1,000-1,999",1001
50-54,54,Doctoral degree,Research Scientist,20+ years,10-20 years,15,"1,000-1,999",1014
50-54,50,Master's degree,Business Analyst,20+ years,1-2 years,1,"100,000-124,999",108491
50-54,50,Doctoral degree,Data Scientist,20+ years,10-20 years,17,"100,000-124,999",109247
50-54,51,Bachelor's degree,Data Engineer,20+ years,2-3 years,2,"100,000-124,999",100120
50-54,51,Master's degree,Other,20+ years,1-2 years,1,"100,000-124,999",120893
50-54,52,Doctoral degree,Research Scientist,20+ years,4-5 years,5,"100,000-124,999",113274
50-54,52,Master's degree,Data Analyst,5-10 years,Under 1 year,0.4,"100,000-124,999",124931
50-54,53,Master's degree,DBA/Database Engineer,20+ years,4-5 years,4,"100,000-124,999",100931
50-54,53,Master's degree,Software Engineer,20+ years,3-4 years,4,"100,000-124,999",116377
50-54,54,Master's degree,Business Analyst,3-5 years,I do not use machine learning methods,0,"100,000-124,999",101391
50-54,54,Master's degree,Machine Learning Engineer,10-20 years,1-2 years,1,"100,000-124,999",112610
50-54,54,Master's degree,Software Engineer,20+ years,1-2 years,1,"100,000-124,999",116729
50-54,54,Doctoral degree,Other,< 1 years,Under 1 year,0.9,"100,000-124,999",121833
50-54,54,Master's degree,Other,I have never written code,,,"100,000-124,999",124039
50-54,50,Doctoral degree,Data Scientist,20+ years,5-10 years,7,"125,000-149,999",130105
50-54,50,Master's degree,Product/Project Manager,3-5 years,I do not use machine learning methods,0,"125,000-149,999",142537
50-54,51,Doctoral degree,Data Scientist,20+ years,2-3 years,2,"125,000-149,999",127694
50-54,51,Bachelor's degree,Other,I have never written code,,,"125,000-149,999",135439
50-54,51,Some college/university study without earning a bachelor's degree,Software Engineer,20+ years,Under 1 year,0.6,"125,000-149,999",143150
50-54,52,Master's degree,Data Analyst,20+ years,2-3 years,3,"125,000-149,999",129584
50-54,52,Master's degree,Product/Project Manager,20+ years,1-2 years,1,"125,000-149,999",135873
50-54,52,Master's degree,Software Engineer,20+ years,1-2 years,1,"125,000-149,999",138399
50-54,52,Professional degree,Software Engineer,20+ years,1-2 years,2,"125,000-149,999",140046
50-54,52,Master's degree,Product/Project Manager,1-2 years,20 or more years,25,"125,000-149,999",141274
50-54,52,Bachelor's degree,Software Engineer,20+ years,I do not use machine learning methods,0,"125,000-149,999",149003
50-54,53,Bachelor's degree,Other,20+ years,5-10 years,5,"125,000-149,999",125017
50-54,53,Master's degree,Software Engineer,20+ years,1-2 years,2,"125,000-149,999",143236
50-54,53,Master's degree,Software Engineer,10-20 years,2-3 years,3,"125,000-149,999",146332
50-54,54,Bachelor's degree,Business Analyst,< 1 years,Under 1 year,0.8,"125,000-149,999",127680
50-54,54,Master's degree,Product/Project Manager,20+ years,1-2 years,2,"125,000-149,999",129026
50-54,54,Master's degree,Other,5-10 years,5-10 years,5,"125,000-149,999",134747
50-54,54,Doctoral degree,Data Scientist,20+ years,3-4 years,3,"125,000-149,999",135292
50-54,54,Professional degree,Statistician,10-20 years,20 or more years,26,"125,000-149,999",138959
50-54,54,Bachelor's degree,Software Engineer,20+ years,20 or more years,22,"125,000-149,999",145445
50-54,54,Master's degree,Data Analyst,10-20 years,I do not use machine learning methods,0,"125,000-149,999",148160
50-54,54,Bachelor's degree,Other,20+ years,5-10 years,9,"125,000-149,999",148432
50-54,50,Professional degree,Data Scientist,20+ years,3-4 years,4,"150,000-199,999",156873
50-54,50,Bachelor's degree,Product/Project Manager,20+ years,1-2 years,1,"150,000-199,999",180264
50-54,50,Master's degree,Other,10-20 years,2-3 years,2,"150,000-199,999",185629
50-54,50,Master's degree,Research Scientist,20+ years,Under 1 year,0.3,"150,000-199,999",191961
50-54,51,Master's degree,Product/Project Manager,5-10 years,Under 1 year,0.3,"150,000-199,999",153678
50-54,51,Master's degree,Other,I have never written code,,,"150,000-199,999",154899
50-54,51,Professional degree,Research Scientist,20+ years,20 or more years,24,"150,000-199,999",157451
50-54,51,Master's degree,Data Analyst,5-10 years,2-3 years,2,"150,000-199,999",157558
50-54,51,Doctoral degree,Product/Project Manager,10-20 years,5-10 years,8,"150,000-199,999",161300
50-54,51,Master's degree,Other,10-20 years,20 or more years,25,"150,000-199,999",173393
50-54,51,Master's degree,Data Scientist,20+ years,5-10 years,10,"150,000-199,999",189336
50-54,51,Doctoral degree,Software Engineer,20+ years,2-3 years,3,"150,000-199,999",193388
50-54,51,Master's degree,Software Engineer,10-20 years,2-3 years,3,"150,000-199,999",194700
50-54,52,Master's degree,Product/Project Manager,20+ years,4-5 years,4,"150,000-199,999",187808
50-54,52,Master's degree,Software Engineer,20+ years,1-2 years,2,"150,000-199,999",189186
50-54,52,Doctoral degree,Data Scientist,20+ years,20 or more years,27,"150,000-199,999",197751
50-54,53,Master's degree,Product/Project Manager,20+ years,5-10 years,7,"150,000-199,999",154827
50-54,53,Bachelor's degree,Other,< 1 years,I do not use machine learning methods,0,"150,000-199,999",156127
50-54,53,Master's degree,Statistician,I have never written code,,,"150,000-199,999",158430
50-54,53,Master's degree,Software Engineer,20+ years,20 or more years,28,"150,000-199,999",164195
50-54,53,Some college/university study without earning a bachelor's degree,Software Engineer,20+ years,1-2 years,1,"150,000-199,999",177080
50-54,53,Doctoral degree,Data Scientist,20+ years,20 or more years,25,"150,000-199,999",181356
50-54,53,Master's degree,Machine Learning Engineer,10-20 years,5-10 years,6,"150,000-199,999",181570
50-54,53,Master's degree,Software Engineer,20+ years,2-3 years,3,"150,000-199,999",192600
50-54,53,Master's degree,Data Scientist,10-20 years,I do not use machine learning methods,0,"150,000-199,999",197021
50-54,54,Bachelor's degree,Other,20+ years,3-4 years,3,"150,000-199,999",159611
50-54,54,Bachelor's degree,Data Scientist,1-2 years,10-20 years,19,"150,000-199,999",173520
50-54,54,Doctoral degree,Research Scientist,20+ years,5-10 years,7,"150,000-199,999",174545
50-54,54,Bachelor's degree,Other,20+ years,1-2 years,1,"150,000-199,999",179210
50-54,54,Doctoral degree,Research Scientist,20+ years,10-20 years,13,"150,000-199,999",191889
50-54,53,Master's degree,Business Analyst,3-5 years,1-2 years,1,"2,000-2,999",2872
50-54,52,Master's degree,Product/Project Manager,< 1 years,I do not use machine learning methods,0,"20,000-24,999",23196
50-54,50,Master's degree,Software Engineer,20+ years,1-2 years,2,"200,000-249,999",204032
50-54,50,Master's degree,Research Scientist,10-20 years,5-10 years,5,"200,000-249,999",224106
50-54,50,Master's degree,Data Scientist,20+ years,5-10 years,6,"200,000-249,999",236505
50-54,51,Doctoral degree,Data Scientist,20+ years,20 or more years,28,"200,000-249,999",220688
50-54,52,Master's degree,Data Engineer,20+ years,2-3 years,3,"200,000-249,999",203712
50-54,54,Doctoral degree,Software Engineer,20+ years,20 or more years,21,"200,000-249,999",205176
50-54,54,Master's degree,Software Engineer,20+ years,4-5 years,4,"200,000-249,999",243182
50-54,52,No formal education past high school,Data Analyst,< 1 years,I do not use machine learning methods,0,"25,000-29,999",26834
50-54,53,Bachelor's degree,Other,< 1 years,Under 1 year,0.9,"25,000-29,999",25520
50-54,50,Bachelor's degree,Software Engineer,20+ years,1-2 years,2,"250,000-299,999",251776
50-54,50,Doctoral degree,Other,20+ years,2-3 years,3,"250,000-299,999",252608
50-54,50,Master's degree,Machine Learning Engineer,20+ years,10-20 years,12,"250,000-299,999",299728
50-54,51,Bachelor's degree,Data Scientist,5-10 years,3-4 years,3,"250,000-299,999",276583
50-54,53,Master's degree,Product/Project Manager,1-2 years,Under 1 year,0.8,"250,000-299,999",276294
50-54,53,Doctoral degree,Software Engineer,20+ years,I do not use machine learning methods,0,"250,000-299,999",293475
50-54,54,Master's degree,Software Engineer,20+ years,I do not use machine learning methods,0,"250,000-299,999",253197
50-54,50,Master's degree,Data Scientist,20+ years,Under 1 year,0.2,"30,000-39,999",33881
50-54,51,Bachelor's degree,Data Engineer,10-20 years,1-2 years,1,"30,000-39,999",31923
50-54,51,Bachelor's degree,Other,I have never written code,,,"30,000-39,999",39610
50-54,52,Bachelor's degree,Data Engineer,10-20 years,1-2 years,2,"30,000-39,999",39790
50-54,52,Professional degree,Other,< 1 years,I do not use machine learning methods,0,"300,000-500,000",322968
50-54,52,Doctoral degree,Other,20+ years,5-10 years,6,"300,000-500,000",362874
50-54,53,Bachelor's degree,Software Engineer,20+ years,5-10 years,5,"300,000-500,000",439244
50-54,54,Doctoral degree,Product/Project Manager,20+ years,20 or more years,25,"300,000-500,000",424850
50-54,50,Doctoral degree,Other,20+ years,2-3 years,3,"40,000-49,999",42725
50-54,51,Master's degree,Other,20+ years,1-2 years,1,"40,000-49,999",42621
50-54,51,Master's degree,Research Scientist,3-5 years,I do not use machine learning methods,0,"40,000-49,999",46746
50-54,54,Master's degree,Other,20+ years,4-5 years,4,"40,000-49,999",43604
50-54,51,Master's degree,Software Engineer,20+ years,2-3 years,3,"50,000-59,999",59513
50-54,53,Some college/university study without earning a bachelor's degree,Software Engineer,3-5 years,1-2 years,2,"50,000-59,999",53697
50-54,52,Master's degree,Software Engineer,20+ years,5-10 years,8,"60,000-69,999",62128
50-54,52,Bachelor's degree,Data Engineer,10-20 years,1-2 years,2,"60,000-69,999",65159
50-54,53,Some college/university study without earning a bachelor's degree,Research Scientist,I have never written code,,,"60,000-69,999",67442
50-54,50,Some college/university study without earning a bachelor's degree,Data Analyst,20+ years,1-2 years,2,"70,000-79,999",70359
50-54,50,Master's degree,Data Scientist,10-20 years,1-2 years,2,"70,000-79,999",71499
50-54,50,Doctoral degree,Statistician,10-20 years,20 or more years,27,"80,000-89,999",84716
50-54,50,Master's degree,Other,I have never written code,,,"80,000-89,999",85699
50-54,52,Doctoral degree,Other,1-2 years,Under 1 year,0.8,"80,000-89,999",82898
50-54,52,Bachelor's degree,Software Engineer,20+ years,I do not use machine learning methods,0,"80,000-89,999",82922
50-54,53,Bachelor's degree,Product/Project Manager,I have never written code,,,"80,000-89,999",89750
50-54,50,Doctoral degree,Other,20+ years,5-10 years,10,"90,000-99,999",90547
50-54,52,Bachelor's degree,Other,3-5 years,I do not use machine learning methods,0,"90,000-99,999",90149
50-54,52,Master's degree,Data Scientist,20+ years,20 or more years,27,"90,000-99,999",92326
50-54,52,Doctoral degree,Research Scientist,10-20 years,10-20 years,16,"90,000-99,999",92944
50-54,52,Master's degree,Product/Project Manager,10-20 years,Under 1 year,0.8,"90,000-99,999",93632
50-54,53,Bachelor's degree,Data Analyst,20+ years,Under 1 year,0.6,"90,000-99,999",91846
50-54,53,Doctoral degree,Statistician,20+ years,3-4 years,3,"90,000-99,999",93983
50-54,53,Doctoral degree,Data Scientist,20+ years,10-20 years,18,"90,000-99,999",94819
50-54,53,Some college/university study without earning a bachelor's degree,Software Engineer,20+ years,Under 1 year,0.6,"90,000-99,999",95979
50-54,54,Master's degree,Product/Project Manager,< 1 years,1-2 years,1,"90,000-99,999",90540
50-54,54,Doctoral degree,Data Scientist,3-5 years,2-3 years,3,"90,000-99,999",90862
50-54,50,I prefer not to answer,Currently not employed,20+ years,1-2 years,1,,
50-54,50,Bachelor's degree,Product/Project Manager,20+ years,2-3 years,3,,
50-54,50,Professional degree,Statistician,20+ years,3-4 years,3,,
50-54,50,Bachelor's degree,Student,< 1 years,Under 1 year,0.8,,
50-54,50,Master's degree,Student,1-2 years,Under 1 year,0.2,,
50-54,50,Bachelor's degree,Data Scientist,20+ years,,,,
50-54,50,Master's degree,Business Analyst,< 1 years,,,,
50-54,50,No formal education past high school,,,,,,
50-54,50,Some college/university study without earning a bachelor's degree,Currently not employed,I have never written code,,,,
50-54,51,Master's degree,Software Engineer,20+ years,1-2 years,1,,
50-54,51,Master's degree,Product/Project Manager,1-2 years,1-2 years,2,,
50-54,51,Doctoral degree,Machine Learning Engineer,20+ years,4-5 years,4,,
50-54,51,No formal education past high school,Student,1-2 years,Under 1 year,0.0,,
50-54,51,Master's degree,Student,< 1 years,,,,
50-54,52,Bachelor's degree,Currently not employed,3-5 years,2-3 years,2,,
50-54,52,Bachelor's degree,Student,1-2 years,I do not use machine learning methods,0,,
50-54,52,Master's degree,Student,1-2 years,,,,
50-54,52,Master's degree,Business Analyst,3-5 years,,,,
50-54,53,Master's degree,Currently not employed,10-20 years,1-2 years,1,,
50-54,53,Master's degree,Data Engineer,20+ years,1-2 years,2,,
50-54,53,Professional degree,Software Engineer,20+ years,1-2 years,1,,
50-54,53,Doctoral degree,Data Scientist,20+ years,3-4 years,3,,
50-54,53,Bachelor's degree,Currently not employed,1-2 years,I do not use machine learning methods,0,,
50-54,53,Master's degree,Statistician,20+ years,I do not use machine learning methods,0,,
50-54,53,Master's degree,Currently not employed,< 1 years,I do not use machine learning methods,0,,
50-54,53,Master's degree,Student,< 1 years,Under 1 year,0.3,,
50-54,53,Doctoral degree,Other,20+ years,,,,
50-54,53,Master's degree,Data Scientist,10-20 years,,,,
50-54,53,No formal education past high school,,,,,,
50-54,53,Professional degree,Currently not employed,I have never written code,,,,
50-54,53,Professional degree,Other,,,,,
50-54,54,Master's degree,Currently not employed,1-2 years,1-2 years,2,,
50-54,54,Bachelor's degree,Currently not employed,20+ years,2-3 years,3,,
50-54,54,Some college/university study without earning a bachelor's degree,Currently not employed,3-5 years,Under 1 year,0.2,,
50-54,54,Master's degree,Data Analyst,3-5 years,,,,
50-54,54,Master's degree,,,,,,
55-59,56,I prefer not to answer,Research Scientist,20+ years,10-20 years,16,"> $500,000",550362
55-59,55,Some college/university study without earning a bachelor's degree,Software Engineer,20+ years,10-20 years,10,$0-999,135
55-59,55,Bachelor's degree,Other,3-5 years,3-4 years,3,$0-999,233
55-59,56,Bachelor's degree,Product/Project Manager,I have never written code,,,$0-999,560
55-59,57,Master's degree,Data Scientist,20+ years,1-2 years,1,$0-999,30
55-59,57,Doctoral degree,Research Scientist,20+ years,3-4 years,4,$0-999,242
55-59,58,Doctoral degree,Other,20+ years,I do not use machine learning methods,0,$0-999,635
55-59,58,Doctoral degree,Data Scientist,20+ years,5-10 years,8,$0-999,857
55-59,58,Bachelor's degree,Software Engineer,20+ years,Under 1 year,0.9,$0-999,923
55-59,58,Master's degree,Software Engineer,20+ years,I do not use machine learning methods,0,$0-999,953
55-59,58,Doctoral degree,Product/Project Manager,3-5 years,3-4 years,3,$0-999,987
55-59,59,Master's degree,Business Analyst,20+ years,1-2 years,2,$0-999,555
55-59,51,Bachelor's degree,Software Engineer,20+ years,I do not use machine learning methods,0,"100,000-124,999",121677
55-59,55,Master's degree,Software Engineer,20+ years,Under 1 year,0.5,"100,000-124,999",105363
55-59,55,Bachelor's degree,Business Analyst,20+ years,3-4 years,4,"100,000-124,999",106591
55-59,55,Master's degree,Other,3-5 years,Under 1 year,0.1,"100,000-124,999",112687
55-59,55,Master's degree,Data Analyst,20+ years,Under 1 year,0.6,"100,000-124,999",118734
55-59,56,Master's degree,Product/Project Manager,20+ years,2-3 years,2,"100,000-124,999",102861
55-59,57,Some college/university study without earning a bachelor's degree,Software Engineer,20+ years,I do not use machine learning methods,0,"100,000-124,999",106246
55-59,59,Master's degree,Other,< 1 years,Under 1 year,0.5,"100,000-124,999",124772
55-59,55,Bachelor's degree,Product/Project Manager,20+ years,5-10 years,6,"125,000-149,999",141193
55-59,55,Master's degree,Other,20+ years,4-5 years,4,"125,000-149,999",143927
55-59,56,Doctoral degree,Research Scientist,I have never written code,,,"125,000-149,999",138699
55-59,56,Doctoral degree,Data Scientist,20+ years,Under 1 year,0.3,"125,000-149,999",147730
55-59,57,Bachelor's degree,Software Engineer,20+ years,Under 1 year,0.0,"125,000-149,999",139017
55-59,58,Bachelor's degree,Data Analyst,10-20 years,I do not use machine learning methods,0,"125,000-149,999",132210
55-59,58,Master's degree,Data Analyst,20+ years,2-3 years,2,"125,000-149,999",138506
55-59,58,Master's degree,Data Engineer,20+ years,3-4 years,4,"125,000-149,999",142312
55-59,59,Master's degree,Data Scientist,20+ years,5-10 years,6,"125,000-149,999",132109
55-59,59,Master's degree,Software Engineer,20+ years,3-4 years,3,"125,000-149,999",136562
55-59,55,Master's degree,Data Analyst,10-20 years,I do not use machine learning methods,0,"150,000-199,999",173395
55-59,55,Doctoral degree,Data Engineer,20+ years,4-5 years,5,"150,000-199,999",185079
55-59,55,Doctoral degree,Product/Project Manager,5-10 years,2-3 years,2,"150,000-199,999",190894
55-59,55,Doctoral degree,Software Engineer,20+ years,5-10 years,5,"150,000-199,999",199935
55-59,56,Bachelor's degree,Software Engineer,20+ years,5-10 years,10,"150,000-199,999",157139
55-59,56,Doctoral degree,Other,20+ years,I do not use machine learning methods,0,"150,000-199,999",164293
55-59,57,Master's degree,Software Engineer,20+ years,2-3 years,2,"150,000-199,999",177979
55-59,57,Doctoral degree,Data Scientist,20+ years,20 or more years,27,"150,000-199,999",188069
55-59,58,Master's degree,Product/Project Manager,20+ years,5-10 years,6,"150,000-199,999",193263
55-59,59,Bachelor's degree,Product/Project Manager,5-10 years,2-3 years,3,"150,000-199,999",151571
55-59,59,Master's degree,Data Scientist,20+ years,20 or more years,28,"150,000-199,999",167483
55-59,59,Doctoral degree,Statistician,20+ years,20 or more years,26,"150,000-199,999",174391
55-59,59,Professional degree,Research Scientist,1-2 years,1-2 years,1,"150,000-199,999",177407
55-59,59,Master's degree,Machine Learning Engineer,20+ years,4-5 years,5,"150,000-199,999",190559
55-59,59,Doctoral degree,Data Scientist,10-20 years,10-20 years,13,"150,000-199,999",198668
55-59,55,Some college/university study without earning a bachelor's degree,Other,1-2 years,I do not use machine learning methods,0,"2,000-2,999",2130
55-59,55,Doctoral degree,Research Scientist,3-5 years,5-10 years,7,"200,000-249,999",219807
55-59,55,Doctoral degree,Other,20+ years,1-2 years,1,"200,000-249,999",241542
55-59,56,Bachelor's degree,Product/Project Manager,20+ years,Under 1 year,0.4,"200,000-249,999",237678
55-59,56,Some college/university study without earning a bachelor's degree,Data Analyst,20+ years,2-3 years,2,"200,000-249,999",247739
55-59,57,Master's degree,Product/Project Manager,20+ years,I do not use machine learning methods,0,"200,000-249,999",214588
55-59,58,Bachelor's degree,Data Scientist,3-5 years,Under 1 year,0.8,"200,000-249,999",227236
55-59,58,Doctoral degree,Data Scientist,20+ years,20 or more years,21,"200,000-249,999",242076
